54584.157 -0.126 0.014
54617.188 -0.095 0.011
54833.374 -0.063 0.016
54924.026 -0.130 0.015
54932.974 -0.138 0.016
54934.961 -0.118 0.016
54937.907 -0.121 0.016
54939.900 -0.092 0.016
55208.478 -0.091 0.013
55311.174 -0.047 0.023
55324.215 -0.051 0.013
55332.198 -0.092 0.013
55352.202 -0.124 0.012
55563.445 -0.120 0.011
55645.902 -0.081 0.017
55649.200 -0.094 0.011
55653.198 -0.091 0.011
55659.913 -0.076 0.020
55664.237 -0.026 0.021
55674.233 -0.056 0.012
55684.162 -0.041 0.013
55702.165 -0.016 0.011
55712.195 -0.037 0.014
55950.093 -0.071 0.018
55961.628 -0.064 0.026
55975.356 -0.087 0.016
55982.355 -0.026 0.013
56038.221 -0.049 0.011
56075.214 -0.035 0.015
56269.495 -0.051 0.016
56315.527 -0.048 0.026
56325.244 -0.025 0.014
56367.211 -0.039 0.012
56388.257 -0.082 0.011
56416.230 -0.102 0.011
56453.159 -0.084 0.015
56621.097 -0.063 0.021
56728.053 -0.059 0.021
56742.930 -0.038 0.021
56745.157 -0.112 0.011
56755.196 -0.068 0.013
56770.861 -0.053 0.021
56780.204 -0.082 0.013
56785.896 -0.085 0.021
56955.456 -0.046 0.020
56971.164 -0.112 0.029
56986.212 -0.086 0.021
57022.307 -0.091 0.013
57044.110 -0.085 0.021
57124.059 -0.077 0.013
57180.920 -0.060 0.021
57394.075 -0.008 0.021
57395.359 -0.047 0.013
57543.162 -0.018 0.012
57699.508 -0.019 0.012
57710.122 -0.050 0.029
57727.524 -0.074 0.015
57770.112 -0.060 0.021
57787.093 -0.030 0.021
57789.372 0.016 0.011
57801.026 -0.003 0.021
57859.969 -0.037 0.020
57873.228 -0.013 0.012
57874.874 -0.015 0.021
58235.873 -0.041 0.021
58422.192 -0.042 0.029
58466.329 -0.005 0.013
58814.243 0.011 0.021
58828.280 0.026 0.021
58911.977 0.057 0.021
58925.941 -0.025 0.021
58946.978 0.045 0.021
59172.273 0.058 0.021
59191.236 0.037 0.021
59212.269 0.071 0.021
59246.006 0.051 0.016
59248.077 0.096 0.020
59283.958 0.010 0.021
59286.969 0.070 0.021
59289.950 0.076 0.021
59296.969 0.058 0.021
59302.928 0.056 0.021
59307.929 0.084 0.021
59323.866 0.082 0.021
59573.126 0.047 0.021
59574.195 0.074 0.021
59577.196 0.062 0.021
59580.074 0.046 0.021
59592.027 0.041 0.021
59601.133 0.014 0.021
59621.948 -0.028 0.021
59662.980 0.061 0.021
59669.014 0.045 0.021
59670.877 0.077 0.021
59675.897 0.035 0.021
59676.892 0.047 0.021
59688.904 0.091 0.021
59692.928 0.065 0.021
59695.873 0.070 0.021
59697.873 0.078 0.021
59700.879 0.083 0.021
59703.917 0.093 0.021
59706.871 0.089 0.028
59710.883 0.085 0.021
59713.900 0.083 0.021
59720.881 0.044 0.021
59721.886 0.045 0.021
59724.940 0.079 0.021
59737.893 0.083 0.021
59887.171 0.105 0.021
59889.198 0.070 0.021
59894.220 0.042 0.028
59901.157 0.097 0.021
59906.224 0.052 0.021
59909.163 0.089 0.021
59913.118 0.087 0.021
59929.209 0.080 0.021
59934.143 0.072 0.021
59937.087 0.089 0.021
59943.158 0.054 0.021
59949.188 0.032 0.021
59969.034 0.048 0.021
59971.118 0.011 0.021
60010.987 0.076 0.021
60012.913 0.083 0.021
60017.912 0.019 0.021
60028.889 0.030 0.021
60065.867 0.088 0.021
60068.866 0.069 0.021
60077.932 0.048 0.021
60081.920 0.106 0.021
60084.904 0.082 0.021
60094.893 0.095 0.021
60256.265 0.050 0.021
60259.271 0.081 0.021
60266.264 0.008 0.021
60271.126 0.113 0.028
